fg_made,kick_distance,down,ydstogo,qtr,game_seconds_remaining,score_differential,home,indoor,temp,wind,precipitation,grass
1,39,4,10,2,2490,-7,1,0,68,12,0,1
1,28,4,10,2,2049,4,0,0,68,12,0,1
1,24,4,6,3,1192,7,0,0,68,12,0,1
1,20,4,2,4,11,-3,1,0,68,12,0,1
1,24,3,6,5,659,0,1,0,68,12,0,1
1,23,4,3,2,2507,7,0,1,70,0,0,0
0,41,4,4,2,1995,-10,1,1,70,0,0,0
1,20,4,2,1,3098,0,0,0,83,10,0,1
0,46,4,8,1,2927,-3,1,0,83,10,0,1
0,43,4,25,2,2260,3,0,0,83,10,0,1
1,37,1,10,2,1802,-3,1,0,83,10,0,1
1,46,4,1,3,1483,0,0,0,83,10,0,1
1,49,4,10,1,2837,-21,0,0,60,5,1,1
1,39,4,4,2,2050,-18,0,0,60,5,1,1
0,48,4,20,3,1606,15,1,0,60,5,1,1
1,37,4,2,1,3084,-7,0,0,81,6,0,1
1,22,4,4,3,1592,-17,1,0,81,6,0,1
1,37,4,2,1,3357,0,0,0,81,7,0,1
1,51,4,6,4,228,-11,1,0,81,7,0,1
1,36,4,10,2,2487,-7,1,0,79,8,1,1
1,39,4,10,2,2168,4,0,0,79,8,1,1
1,47,4,2,3,1630,0,1,0,79,8,1,1
1,33,4,4,3,1265,3,1,0,79,8,1,1
1,37,4,11,1,2738,0,1,0,87,10,0,0
1,22,4,4,2,2311,3,1,0,87,10,0,0
1,31,4,9,3,1313,1,0,0,87,10,0,0
0,65,4,3,2,1807,7,1,0,75,9,0,1
0,63,1,10,2,1801,-7,0,0,75,9,0,1
1,37,4,7,4,829,7,1,0,75,9,0,1
1,43,4,11,1,3310,-7,0,0,64,12,0,1
1,42,4,7,1,2791,-4,0,0,64,12,0,1
1,31,4,11,3,1254,8,1,0,64,12,0,1
1,36,4,7,4,580,-3,0,0,64,12,0,1
0,37,4,9,4,459,0,1,0,64,12,0,1
1,31,3,9,4,19,0,0,0,64,12,0,1
1,41,4,3,2,2700,0,0,0,83,10,0,1
0,22,4,4,4,621,-18,1,0,83,10,0,1
0,37,4,4,1,3143,0,1,0,81,12,0,1
0,43,4,10,1,2822,0,0,0,81,12,0,1
1,48,4,10,2,2470,0,1,0,81,12,0,1
1,49,4,7,2,2001,-3,0,0,81,12,0,1
1,23,4,2,3,1442,0,0,0,81,12,0,1
1,22,4,5,4,141,-3,1,0,81,12,0,1
1,52,1,10,4,8,0,0,0,81,12,0,1
1,50,4,10,1,2776,-7,1,0,82,5,0,0
1,20,4,2,3,1322,11,0,0,82,5,0,0
1,26,2,6,5,428,0,0,0,82,5,0,0
1,39,4,12,1,3173,0,0,0,69,10,1,0
1,22,4,4,1,2972,-3,1,0,69,10,1,0
0,52,4,4,1,2838,0,0,0,69,10,1,0
1,46,4,8,3,1620,0,1,0,69,10,1,0
1,21,4,3,1,2931,7,1,0,68,8,0,1
1,48,4,1,2,1840,17,1,0,68,8,0,1
1,40,4,16,3,938,-20,0,0,68,8,0,1
1,32,4,14,4,642,17,1,0,68,8,0,1
1,38,4,7,1,2970,0,0,0,73,8,0,1
0,43,4,13,2,2670,-3,1,0,73,8,0,1
0,39,4,10,3,944,11,1,0,73,8,0,1
0,45,4,10,4,505,4,1,0,73,8,0,1
1,48,4,6,2,2059,-14,0,1,70,0,0,0
0,37,1,10,2,1804,-18,0,1,70,0,0,0
1,49,4,6,3,1540,-18,0,1,70,0,0,0
0,45,4,10,4,778,22,1,1,70,0,0,0
1,30,4,11,1,2866,-7,0,1,70,0,0,0
1,25,4,3,2,1902,-3,1,1,70,0,0,0
1,26,4,7,3,1053,-7,0,1,70,0,0,0
1,31,4,14,4,342,-11,0,1,70,0,0,0
1,28,4,2,1,3168,0,1,0,103,6,0,1
1,49,4,2,2,2496,-10,0,0,103,6,0,1
1,31,4,9,2,2117,-7,0,0,103,6,0,1
1,35,4,4,2,2019,-4,0,0,103,6,0,1
1,33,4,8,3,1600,14,1,0,66,6,0,1
0,46,4,12,4,328,10,1,0,66,6,0,1
1,20,4,2,1,3069,0,0,0,63,5,1,1
1,45,4,7,3,1280,-10,1,0,63,5,1,1
1,42,4,10,1,3444,0,0,0,64,14,0,1
1,34,1,10,2,1804,10,0,0,64,14,0,1
1,33,4,2,3,1279,-13,1,0,64,14,0,1
0,49,4,5,4,446,-10,1,0,64,14,0,1
1,24,4,6,1,2770,0,1,0,74,10,0,1
1,26,4,8,2,1803,-3,0,0,74,10,0,1
1,42,4,3,1,3025,0,0,0,88,9,0,1
1,25,4,1,2,2402,3,0,0,88,9,0,1
1,45,4,2,3,1575,-1,0,0,88,9,0,1
1,27,4,5,3,906,-2,1,0,88,9,0,1
1,48,4,2,1,3126,0,0,0,65,4,0,0
1,41,4,13,2,2173,-10,1,0,65,4,0,0
0,49,4,17,3,1479,14,0,0,65,4,0,0
1,21,4,3,4,573,14,0,0,65,4,0,0
1,22,4,2,2,2613,14,0,0,79,0,0,0
1,24,4,6,2,2039,10,0,0,79,0,0,0
1,23,4,4,4,784,12,0,0,79,0,0,0
0,41,4,5,4,183,8,0,0,79,0,0,0
1,43,4,12,4,75,8,0,0,79,0,0,0
1,44,4,6,1,3249,0,0,0,59,10,0,1
1,40,4,6,2,2569,9,0,0,59,10,0,1
1,52,4,6,2,1806,1,1,0,59,10,0,1
1,25,4,2,3,987,3,0,0,59,10,0,1
1,33,4,4,4,411,-7,1,0,59,10,0,1
0,47,4,6,1,3355,0,0,0,84,10,0,1
1,22,4,3,1,3025,0,0,0,84,10,0,1
1,35,4,7,1,2718,-3,1,0,84,10,0,1
1,43,4,3,2,2325,0,0,0,84,10,0,1
0,37,4,9,3,1432,-8,1,0,84,10,0,1
1,39,4,1,3,1031,-8,1,0,84,10,0,1
1,28,4,7,2,1994,7,1,0,46,12,0,1
1,32,4,8,3,1712,10,1,0,46,12,0,1
1,30,4,2,4,198,27,1,0,46,12,0,1
1,34,4,1,1,2921,7,0,0,104,20,0,1
0,49,4,12,2,1855,-10,1,0,104,20,0,1
1,55,4,15,2,1810,10,0,0,104,20,0,1
1,29,4,4,1,2996,-7,0,0,71,5,0,1
1,43,4,9,1,2735,4,1,0,71,5,0,1
1,26,4,8,2,2414,-7,0,0,71,5,0,1
1,49,4,3,3,1476,4,1,0,71,5,0,1
0,38,4,16,2,2696,0,1,0,78,8,0,1
1,35,4,13,1,3379,0,0,0,72,12,1,1
1,28,3,10,2,1816,10,0,0,72,12,1,1
0,42,4,10,4,849,-23,1,0,72,12,1,1
1,30,4,9,4,318,23,0,0,72,12,1,1
1,41,4,14,1,3516,0,0,0,53,13,1,0
1,43,4,14,1,3206,3,0,0,53,13,1,0
1,40,4,5,2,2147,21,1,0,53,13,1,0
1,19,4,2,2,1819,24,1,0,53,13,1,0
1,42,4,8,2,2310,-7,0,0,64,14,0,1
1,46,4,8,2,1861,-4,0,0,64,14,0,1
0,37,4,3,4,297,21,0,0,64,14,0,1
1,47,4,9,2,2155,7,1,0,59,20,0,1
1,48,2,3,2,1804,17,1,0,59,20,0,1
1,35,4,12,3,1481,20,1,0,59,20,0,1
1,30,4,9,1,3075,0,1,0,57,19,0,1
1,28,4,6,3,1800,-18,1,0,57,19,0,1
1,33,4,2,4,895,22,0,0,57,19,0,1
1,26,4,7,2,2002,-7,0,1,70,0,0,0
1,32,4,1,2,1807,-14,0,0,54,10,1,1
1,30,4,5,4,281,-11,0,0,54,10,1,1
0,33,4,3,1,2953,0,0,0,63,7,0,0
0,49,4,2,2,2504,-7,1,0,63,7,0,0
1,30,4,12,2,2031,7,0,0,63,7,0,0
1,23,4,5,2,1837,-10,1,0,63,7,0,0
1,52,4,9,4,555,7,0,0,63,7,0,0
1,20,4,2,2,2296,7,1,0,81,7,0,1
0,53,4,8,2,2030,-17,0,0,81,7,0,1
0,55,1,10,2,1801,-24,0,0,81,7,0,1
0,50,4,6,2,2492,0,1,0,52,0,0,1
1,19,4,1,2,1987,0,0,0,52,0,0,1
1,49,2,6,2,1805,3,0,0,52,0,0,1
1,24,4,4,3,1506,-6,1,0,52,0,0,1
1,35,4,7,3,1257,3,0,0,52,0,0,1
1,29,4,11,4,586,6,0,0,52,0,0,1
1,25,4,6,1,3159,0,0,1,70,0,0,0
1,24,4,6,2,1981,4,1,1,70,0,0,0
1,25,4,2,2,1819,-7,0,1,70,0,0,0
1,49,4,3,3,1322,-4,0,1,70,0,0,0
1,29,4,11,3,1008,1,1,1,70,0,0,0
1,42,4,7,2,2324,-7,1,0,53,17,0,0
0,30,4,3,3,1526,-3,0,0,53,17,0,0
1,28,4,1,4,77,3,1,0,53,17,0,0
1,40,3,2,2,1805,0,1,0,52,10,0,1
0,48,4,14,1,3058,0,0,1,70,0,0,0
1,42,4,15,2,1801,7,0,1,70,0,0,0
0,44,4,3,3,1451,-10,1,1,70,0,0,0
1,44,4,26,4,254,-24,1,1,70,0,0,0
1,26,4,8,2,2695,0,1,0,44,20,0,1
0,51,4,11,3,1662,-10,0,0,44,20,0,1
1,42,4,8,4,543,10,1,0,44,20,0,1
1,48,4,7,4,117,6,1,0,44,20,0,1
0,34,4,8,2,2085,-14,0,0,59,10,0,1
0,41,4,23,2,1821,-14,0,0,59,10,0,1
0,53,4,5,1,3147,0,1,0,80,9,1,1
1,35,4,5,3,1166,0,0,0,80,9,1,1
1,32,4,14,1,3255,0,0,0,50,6,0,0
1,48,4,9,2,2327,-11,0,0,50,6,0,0
0,52,4,3,2,1920,-9,0,0,50,6,0,0
1,48,4,4,3,1477,-9,0,0,50,6,0,0
0,40,4,1,3,1137,6,1,0,50,6,0,0
1,25,4,7,4,462,6,1,0,50,6,0,0
1,23,4,2,2,2498,-7,0,0,74,9,0,1
1,48,4,15,2,2115,4,1,0,74,9,0,1
1,35,4,17,2,1888,-7,0,0,74,9,0,1
1,24,4,6,3,1125,4,1,0,74,9,0,1
1,50,4,5,1,3332,0,1,1,70,0,0,0
1,23,4,6,1,3000,3,1,1,70,0,0,0
